GEO_ID,Census_Tract,Median household income in the past 12 months (in 2020 inflation-adjusted dollars),"Median household income in the past 12 months (in 2020 inflation-adjusted dollars), Owner occupied (dollars)","Median household income in the past 12 months (in 2020 inflation-adjusted dollars), Renter occupied (dollars)"
1400000US06037800204,"Census Tract 8002.04, Los Angeles County, California",161144,212917,65125
1400000US06037800205,"Census Tract 8002.05, Los Angeles County, California",105130,128990,102935
1400000US06037800206,"Census Tract 8002.06, Los Angeles County, California",236709,236979,235962
1400000US06037800324,"Census Tract 8003.24, Los Angeles County, California",132340,137243,107031
1400000US06037800325,"Census Tract 8003.25, Los Angeles County, California",146649,159676,114261
1400000US06037800328,"Census Tract 8003.28, Los Angeles County, California",225819,225216,"250,000+"
1400000US06037800333,"Census Tract 8003.33, Los Angeles County, California",92635,69583,116250
1400000US06037800334,"Census Tract 8003.34, Los Angeles County, California",107672,121591,84875
1400000US06037800335,"Census Tract 8003.35, Los Angeles County, California",124167,136667,65156
1400000US06037800336,"Census Tract 8003.36, Los Angeles County, California",174682,173475,"250,000+"
1400000US06037800337,"Census Tract 8003.37, Los Angeles County, California",74663,94624,-
1400000US06037800338,"Census Tract 8003.38, Los Angeles County, California",170259,175735,163673
1400000US06037800406,"Census Tract 8004.06, Los Angeles County, California",149048,148512,166607
1400000US06037800410,"Census Tract 8004.10, Los Angeles County, California",150469,201667,125250
1400000US06037800411,"Census Tract 8004.11, Los Angeles County, California",170299,189261,107222
1400000US06037800412,"Census Tract 8004.12, Los Angeles County, California",111992,115167,111688
1400000US06037800504,"Census Tract 8005.04, Los Angeles County, California",170458,249300,-
1400000US06037800506,"Census Tract 8005.06, Los Angeles County, California",180493,181645,171089
1400000US06037900102,"Census Tract 9001.02, Los Angeles County, California",41713,43487,40324
1400000US06037900103,"Census Tract 9001.03, Los Angeles County, California",42400,50174,19561
1400000US06037900104,"Census Tract 9001.04, Los Angeles County, California",49886,53082,41005
1400000US06037900301,"Census Tract 9003.01, Los Angeles County, California",56642,77988,45756
1400000US06037900501,"Census Tract 9005.01, Los Angeles County, California",60848,77143,43042
1400000US06037900504,"Census Tract 9005.04, Los Angeles County, California",59212,80811,41194
1400000US06037900505,"Census Tract 9005.05, Los Angeles County, California",45424,56944,19625
1400000US06037900506,"Census Tract 9005.06, Los Angeles County, California",55938,77554,42622
1400000US06037900508,"Census Tract 9005.08, Los Angeles County, California",72891,91477,26250
1400000US06037900509,"Census Tract 9005.09, Los Angeles County, California",48438,59100,36472
1400000US06037900510,"Census Tract 9005.10, Los Angeles County, California",42934,62615,-
1400000US06037900602,"Census Tract 9006.02, Los Angeles County, California",41016,45793,33411
1400000US06037900606,"Census Tract 9006.06, Los Angeles County, California",38534,51810,37980
1400000US06037900607,"Census Tract 9006.07, Los Angeles County, California",54016,61154,37730
1400000US06037900608,"Census Tract 9006.08, Los Angeles County, California",62527,76141,20889
1400000US06037900609,"Census Tract 9006.09, Los Angeles County, California",38684,71926,21925
1400000US06037900610,"Census Tract 9006.10, Los Angeles County, California",28017,35036,-
1400000US06037900611,"Census Tract 9006.11, Los Angeles County, California",70566,93380,69002
1400000US06037900701,"Census Tract 9007.01, Los Angeles County, California",42380,53889,33953
1400000US06037900703,"Census Tract 9007.03, Los Angeles County, California",45582,62614,38357
1400000US06037900704,"Census Tract 9007.04, Los Angeles County, California",42437,-,42447
